361009,ABC_TXT.PNG
13400000,HYOJI_EMBLEM0.PNG
13400001,HYOJI_EMBLEM1.PNG
305005,ST_064S_SCORE.PNG
90000,HYOJI_BALLS_E.PNG
400999,B32ASCII.PNG
400999,B32ASCII_J.PNG
365771,STAFFROLL_TXT.PNG
10000073,MISSION_G_SONICD.PNG,256x128
10000074,MISSION_G_SONICDRING.PNG,256x128
10000075,MISSION_G_SONICDSEC.PNG,256x128
10000076,MISSION_K_1MIN.PNG,256x128
10000077,MISSION_K_2MIN.PNG,256x128
10000078,MISSION_K_3EME.PNG,256x128
10000079,MISSION_K_NOHINT.PNG,256x128
10000080,MISSION_S_BOX.PNG,256x128
10000081,MISSION_S_BOXMIN.PNG,256x128
10000082,MISSION_S_EGGC.PNG,256x128
10000083,MISSION_S_EMECASINO.PNG,256x128
10000084,MISSION_S_EMESNOW.PNG,256x128
10000085,MISSION_S_EMEWIND.PNG,256x128
10000086,MISSION_S_FEGG.PNG,256x128
10000087,MISSION_S_ISEKI.PNG,256x128
10000088,MISSION_S_RINGBOX.PNG,256x128
10000089,MISSION_S_TAILS.PNG,256x128
10000090,MISSION_T_BOX.PNG,256x128
10000091,MISSION_T_EMECASINO.PNG,256x128
10000092,MISSION_T_EMESNOW.PNG,256x128
10000093,MISSION_T_EMEWIND.PNG,256x128
10000094,MISSION_T_FASTEGG.PNG,256x128
10000095,MISSION_T_FASTSONIC.PNG,256x128
10000096,MISSION_T_MISS.PNG,256x128
10000097,MISSION_T_RINGEGG.PNG,256x128
10000098,MISSION_T_RINGSONIC.PNG,256x128
305004,ST_128S_HPGEJI.PNG
